date,vacunas-count,efectos secundarios vacuna ...-count,trombos-count,trombosis-count,pfizer-count,moderna-count,astrazeneca-count,jhonson & jhonson janssen-count,sinovac-count,sinopharm-count,zydus-count,gamaleya-count,vacunas-total_count,efectos secundarios vacuna ...-total_count,trombos-total_count,trombosis-total_count,pfizer-total_count,moderna-total_count,astrazeneca-total_count,jhonson & jhonson janssen-total_count,sinovac-total_count,sinopharm-total_count,zydus-total_count,gamaleya-total_count,vacunas-ratio,efectos secundarios vacuna ...-ratio,trombos-ratio,trombosis-ratio,pfizer-ratio,moderna-ratio,astrazeneca-ratio,jhonson & jhonson janssen-ratio,sinovac-ratio,sinopharm-ratio,zydus-ratio,gamaleya-ratio
"2021-02-19","484","1109","0","0","174","48","67","6","58","12","0","10","4403","4403","4403","4403","4403","4403","4403","4403","4403","4403","4403","4403","0.10992505110152169","0.25187372246195777","0","0","0.039518510106745404","0.01090165796048149","0.015216897569838746","0.0013627072450601862","0.013172836702248466","0.0027254144901203725","0","0.0022711787417669773"
"2021-02-20","320","701","0","0","101","26","52","3","86","16","0","8","2972","2972","2972","2972","2972","2972","2972","2972","2972","2972","2972","2972","0.10767160161507403","0.23586810228802155","0","0","0.03398384925975774","0.008748317631224764","0.017496635262449527","0.001009421265141319","0.028936742934051143","0.005383580080753701","0","0.0026917900403768506"
"2021-02-21","208","651","0","0","59","18","34","3","40","20","0","4","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","0.07172413793103448","0.22448275862068964","0","0","0.020344827586206895","0.006206896551724138","0.011724137931034483","0.0010344827586206897","0.013793103448275862","0.006896551724137931","0","0.001379310344827586"
"2021-02-22","403","1099","0","0","135","42","59","8","61","20","0","3","4601","4601","4601","4601","4601","4601","4601","4601","4601","4601","4601","4601","0.08758965442295154","0.238861117148446","0","0","0.029341447511410563","0.009128450336883287","0.012823299282764617","0.001738752445120626","0.013257987394044773","0.0043468811128015645","0","0.0006520321669202348"
"2021-02-23","387","974","0","1","139","47","71","15","130","21","1","8","3669","3669","3669","3669","3669","3669","3669","3669","3669","3669","3669","3669","0.1054783319705642","0.2654674298173889","0","0.0002725538293813028","0.03788498228400109","0.012810029980921232","0.019351321886072498","0.004088307440719542","0.035431997819569364","0.005723630417007359","0.0002725538293813028","0.0021804306350504225"
"2021-02-24","452","1207","0","0","213","80","124","22","127","45","0","2","4848","4848","4848","4848","4848","4848","4848","4848","4848","4848","4848","4848","0.09323432343234324","0.24896864686468648","0","0","0.04393564356435643","0.0165016501650165","0.02557755775577558","0.004537953795379538","0.026196369636963698","0.009282178217821782","0","0.00041254125412541255"
"2021-02-25","427","1201","0","0","175","75","75","11","121","33","0","4","4870","4870","4870","4870","4870","4870","4870","4870","4870","4870","4870","4870","0.08767967145790555","0.24661190965092403","0","0","0.03593429158110883","0.015400410677618069","0.015400410677618069","0.0022587268993839835","0.02484599589322382","0.006776180698151951","0","0.0008213552361396304"
"2021-02-26","366","1113","0","1","146","68","87","6","100","31","0","8","4562","4562","4562","4562","4562","4562","4562","4562","4562","4562","4562","4562","0.08022797018851381","0.24397194213064446","0","0.00021920210434020167","0.032003507233669445","0.014905743095133712","0.019070583077597545","0.00131521262604121","0.021920210434020166","0.006795265234546251","0","0.0017536168347216134"
"2021-02-27","227","663","0","1","70","37","31","6","63","17","0","7","3208","3208","3208","3208","3208","3208","3208","3208","3208","3208","3208","3208","0.07076059850374065","0.20667082294264338","0","0.0003117206982543641","0.021820448877805487","0.011533665835411471","0.009663341645885287","0.0018703241895261845","0.01963840399002494","0.00529925187032419","0","0.0021820448877805485"
"2021-02-28","185","722","2","0","56","51","27","4","38","21","0","9","3272","3272","3272","3272","3272","3272","3272","3272","3272","3272","3272","3272","0.056540342298288505","0.2206601466992665","0.0006112469437652812","0","0.017114914425427872","0.01558679706601467","0.008251833740831296","0.0012224938875305623","0.011613691931540342","0.006418092909535452","0","0.0027506112469437654"
